,rank,name,price $,chg_24h,chg_7d,chg_30d,market_cap $,volume_24h $
0,1,BNB,611.951,-1.15%,+0.37%,+3.06%,"88,127,449,266","2,044,816,568"
1,2,UNUS SED LEO,611.951,+3.81%,+12.29%,+37.72%,"88,127,449,266","2,044,816,568"
2,3,Cronos,611.951,+5.7%,+8.4%,+133.87%,"88,127,449,266","2,044,816,568"
3,4,OKB,611.951,-0.87%,+1.34%,+8.78%,"88,127,449,266","2,044,816,568"
4,5,Bitget Token,611.951,-0.42%,-4.66%,+17.48%,"88,127,449,266","2,044,816,568"
5,6,KuCoin Token,611.951,+0.39%,+0.24%,+20.84%,"88,127,449,266","2,044,816,568"
6,7,GateToken,611.951,-0.32%,+4.47%,+10.25%,"88,127,449,266","2,044,816,568"
7,8,FTX Token,611.951,+1.91%,+23.52%,+9.27%,"88,127,449,266","2,044,816,568"
8,9,MX Token,611.951,+0.57%,+8.54%,-4.41%,"88,127,449,266","2,044,816,568"
9,10,HTX Token,611.951,-3.33%,+41.37%,+25.75%,"88,127,449,266","2,044,816,568"
10,11,BitMart Token,611.951,-1.87%,-9.78%,-6.47%,"88,127,449,266","2,044,816,568"
11,12,Tokocrypto,611.951,-3.12%,+1.12%,-14.37%,"88,127,449,266","2,044,816,568"
12,13,WazirX,611.951,-2.89%,+10.97%,+10.38%,"88,127,449,266","2,044,816,568"
13,14,Bitgert,611.951,-5.03%,+10.22%,+4.13%,"88,127,449,266","2,044,816,568"
14,15,BIM,611.951,-0.1%,-0.16%,,"88,127,449,266","2,044,816,568"
15,16,ASD,611.951,-1.35%,+3.31%,+15.35%,"88,127,449,266","2,044,816,568"
16,17,Stobox Token,611.951,-4.03%,-9.87%,+12.7%,"88,127,449,266","2,044,816,568"
17,18,BigONE Token,611.951,+5.17%,-1.5%,,"88,127,449,266","2,044,816,568"
18,19,OpenOcean,611.951,-1.51%,-6.16%,+16.92%,"88,127,449,266","2,044,816,568"
19,20,BitForex Token,611.951,+1.31%,+6.8%,-0.1%,"88,127,449,266","2,044,816,568"
20,21,NanoByte Token,611.951,-2.12%,-1.05%,+6.12%,"88,127,449,266","2,044,816,568"
21,22,Cobinhood,611.951,-1.69%,+18.91%,,"88,127,449,266","2,044,816,568"
22,23,Creaticles,611.951,-4.97%,-0.29%,-5.64%,"88,127,449,266","2,044,816,568"
23,24,Bitteam token,611.951,-34.65%,-29.02%,+19.46%,"88,127,449,266","2,044,816,568"
